

Started: 2016-07-11 20:31:03.384774.
Data OK.
Network OK.
287974 parameters
Functions OK.
Training...
Epoch     TL                  TA                  VL                  VA                  Time                
1         2.28269354343       0.14084             2.23841966391       0.3656              2.57655906677       
2         2.18937730789       0.29246             2.02171127796       0.6578              2.57481312752       
3         1.8038130343        0.47064             1.15041341186       0.8066              2.57575392723       
4         1.10153980732       0.6579              0.57371109724       0.864               2.57586288452       
5         0.747318505645      0.7663              0.411133918166      0.8923              2.5779531002        
6         0.60370213747       0.8129              0.339147745073      0.9069              2.57489609718       
7         0.518449080586      0.83984             0.295947228372      0.9165              2.58023405075       
8         0.456882347167      0.8603              0.262158598751      0.927               2.59843301773       
9         0.416614449322      0.8732              0.238122601062      0.9326              2.59630179405       
10        0.383007790744      0.88308             0.220593116432      0.9367              2.59495615959       
11        0.354277703464      0.89164             0.202913513035      0.9428              2.59050416946       
12        0.334403158426      0.89954             0.189719436318      0.9457              2.5925848484        
13        0.313455616534      0.90536             0.179118756205      0.9492              2.59445905685       
14        0.296301957965      0.91012             0.168447196484      0.9521              2.59210801125       
15        0.282347217351      0.91372             0.159809964895      0.9548              2.59122395515       
16        0.267146924883      0.91828             0.152967389673      0.9569              2.57397198677       
17        0.259669884145      0.92144             0.147819463164      0.9578              2.57145118713       
18        0.249593369514      0.92562             0.142552321777      0.9581              2.57555508614       
19        0.240397093445      0.92738             0.136216562614      0.9614              2.57474398613       
20        0.232283389419      0.9298              0.131123734638      0.9629              2.57116413116       
21        0.227136175632      0.93198             0.127626505494      0.9638              2.57561302185       
22        0.218029983342      0.93442             0.124415446818      0.9646              2.57401800156       
23        0.21178303346       0.93672             0.120385411754      0.9654              2.57503795624       
24        0.207474336177      0.93666             0.11893649362       0.9655              2.57292509079       
25        0.205166026801      0.93724             0.114848078042      0.9679              2.57360982895       
26        0.198788688928      0.93984             0.112461993098      0.9684              2.57278394699       
27        0.192305261195      0.94018             0.109661367163      0.9696              2.57479000092       
28        0.190993551835      0.94258             0.107527181506      0.9704              2.57574796677       
29        0.184968874529      0.9441              0.105239067413      0.9703              2.5736219883        
30        0.184895405769      0.94422             0.103702597693      0.9707              2.57788395882       
31        0.180240405574      0.94588             0.101381262019      0.9716              2.57477903366       
32        0.178878219128      0.94604             0.0994467370212     0.9722              2.57605004311       
33        0.174156810492      0.94742             0.0977962100878     0.9728              2.57193589211       
34        0.173944637328      0.94764             0.0965191377327     0.9734              2.5748898983        
35        0.16979812637       0.94844             0.0944531269372     0.9736              2.57350802422       
36        0.168275089115      0.94848             0.0927336944267     0.9735              2.57165288925       
37        0.161171858609      0.95128             0.0919472897425     0.9738              2.57189106941       
38        0.161841967255      0.94998             0.0902217423543     0.9746              2.57563495636       
39        0.160819261         0.95096             0.0891819221899     0.9751              2.59850692749       
40        0.155709563643      0.95278             0.0877254810184     0.9749              2.59621191025       
41        0.153796351776      0.95302             0.0869863573462     0.9756              2.59808516502       
42        0.151197688058      0.95362             0.0850253649056     0.9758              2.59398698807       
43        0.151778178588      0.95458             0.0847757887095     0.9759              2.59491586685       
44        0.147194921374      0.95556             0.0834710141644     0.9764              2.59461307526       
45        0.148419278413      0.9548              0.0823970202357     0.9768              2.59207296371       
46        0.143593894988      0.9564              0.0815816642717     0.9772              2.59317588806       
47        0.142921073362      0.95682             0.0805973343551     0.9772              2.59324502945       
48        0.139514317289      0.9579              0.079423266463      0.9775              2.59335303307       
49        0.143318489268      0.95618             0.0789315799251     0.978               2.59169507027       
50        0.139318689629      0.95682             0.077901016362      0.978               2.59555912018       
51        0.138671801537      0.9579              0.0771867757663     0.978               2.59374308586       
52        0.135995389074      0.95762             0.076341085881      0.9779              2.59376502037       
53        0.135247151107      0.95878             0.0757370956242     0.9783              2.59184098244       
54        0.133233252093      0.9595              0.0754057817161     0.9785              2.59529495239       
55        0.133205845505      0.9592              0.074472887069      0.9788              2.59158396721       
56        0.131641967967      0.9605              0.0737942149863     0.9786              2.59129619598       
57        0.131176889837      0.95966             0.0728506347165     0.9792              2.59297919273       
58        0.12911084868       0.96052             0.0724161354825     0.9791              2.58975505829       
59        0.126350903884      0.9612              0.0718686960638     0.9792              2.59142684937       
60        0.123917388469      0.96178             0.0712043741718     0.9794              2.59575486183       
61        0.126495814621      0.9604              0.0710424112156     0.9791              2.59361505508       
62        0.124448628351      0.96138             0.0699726168066     0.9795              2.57939100266       
63        0.122235136256      0.96284             0.0697396356612     0.9796              2.57397079468       
64        0.122169946134      0.96204             0.0686562344432     0.98                2.57125496864       
65        0.120887626633      0.9638              0.0682735456154     0.9801              2.57185816765       
66        0.120817219913      0.96138             0.067634960264      0.9803              2.57626700401       
67        0.11809861403       0.96346             0.0677212574519     0.9803              2.57563090324       
68        0.120436280668      0.96212             0.067160500586      0.9805              2.5755739212        
69        0.118531049341      0.96368             0.0663208236918     0.9804              2.57143902779       
70        0.117233393341      0.96394             0.0667485836893     0.9808              2.57550597191       
71        0.113954989538      0.9654              0.0657811105251     0.9807              2.57394599915       
72        0.113524405882      0.96538             0.0663882354274     0.9809              2.5731921196        
73        0.112491869032      0.96546             0.0656119180843     0.9809              2.57470393181       
74        0.112272508591      0.96544             0.0646083295345     0.9815              2.57433605194       
